crop_code,Main_use_aggregated,Detailed_use_aggregated,Used_part_aggregated
10000,"environmental, food & beverage, medicinal","minerals, ornamental/turf, protein, sensory applications, vitamins","entire plant, roots, seeds"
10010,"animal food (feed), environmental","ornamental/turf, vitamins",entire plant
10015,"animal food (feed), environmental, food & beverage, material, medicinal, non-vertebrate food","agroforestry, blood system applications, digestive system applications, genitourinary system applications, gums/resins, immune system applications, living fence, minerals, muscular/skeletal applications, paper, skin applications, vitamins","bark, bulbs, entire plant, exudates, fruits, leaves, stems"
10017,animal food (feed),"minerals, vitamins",entire plant
1002,"animal food (feed), environmental, food & beverage, food additive, material, medicinal, poison","blood system applications, condiment/seasoning, digestive system applications, mammals, minerals, nervous system applications, ornamental/turf, respiratory applications, skin applications, timber wood, vitamins","bark, entire plant, flowers, fruits, leaves, seeds"
10030,"environmental, food & beverage","cover crop, minerals, starch, vitamins","entire plant, roots"
10032,"medicinal, poison","digestive system applications, endocrine system applications, mammals, metabolic system applications, skin applications","leaves, roots"
10046,"animal food (feed), food & beverage, medicinal","blood system applications, digestive system applications, skin applications, vitamins","entire plant, leaves"
10057,material,timber wood,bark
10062,material,timber wood,bark
1007,"animal food (feed), environmental, food & beverage, medicinal, poison","agroforestry, insects, living fence, minerals, revegetation, shade & shelter, skin applications, soil improvers, Unspecified, vitamins","entire plant, flowers, leaves, roots, stems"
10081,"food additive, material","emulsifier, fibres, gums/resins, stabiliser, starch, timber wood","bark, exudates, stems"
10082,material,"fibres, gums/resins","exudates, stems"
10083,material,timber wood,bark
10084,"food additive, medicinal","blood system applications, genitourinary system applications, immune system applications, nutritional applications, skin applications, sweetener",leaves
10086,"animal food (feed), environmental","minerals, revegetation, vitamins",entire plant
10088,"animal food (feed), environmental","minerals, revegetation, vitamins",entire plant
10089,animal food (feed),"minerals, vitamins",entire plant
10092,material,paper,leaves
10104,animal food (feed),"minerals, vitamins",entire plant
10105,animal food (feed),"minerals, vitamins",entire plant
10106,animal food (feed),"minerals, vitamins",entire plant
10107,animal food (feed),"minerals, vitamins",entire plant
10108,animal food (feed),"minerals, vitamins",entire plant
10109,"animal food (feed), non-vertebrate food","minerals, vitamins",entire plant
10110,animal food (feed),vitamins,entire plant
1012,"environmental, medicinal","firebreaks, living fence, ornamental/turf, shade & shelter, soil improvers, support, Unspecified, windbreak","entire plant, stems"
10126,"environmental, food & beverage, medicinal","genitourinary system applications, living fence, minerals, respiratory applications, skin applications, vitamins","entire plant, fruits, leaves, roots, stems"
10130,"animal food (feed), food & beverage, fuels, medicinal","digestive system applications, fuelwood, genitourinary system applications, minerals, sensory applications, vitamins","bark, fruits, leaves, roots, stems"
10135,"animal food (feed), food & beverage, material, medicinal, poison","genitourinary system applications, mammals, minerals, respiratory applications, sensory applications, timber wood, vitamins","bark, fruits, leaves, roots, seeds, stems"
10143,animal food (feed),"minerals, vitamins",entire plant
10144,"animal food (feed), medicinal","minerals, Unspecified, vitamins","entire plant, Unspecified"
10145,"animal food (feed), environmental","erosion control, minerals, nitrogen fixation, protein, revegetation",entire plant
10146,"animal food (feed), environmental","erosion control, minerals, protein, soil improvers, vitamins",entire plant
10147,"animal food (feed), environmental","cover crop, erosion control, manure/fertilizer, minerals, protein, soil improvers, vitamins",entire plant
10148,animal food (feed),"minerals, vitamins",entire plant
10149,animal food (feed),"minerals, vitamins",entire plant
10150,"animal food (feed), environmental","agroforestry, minerals, vitamins",entire plant
1017,"environmental, fuels, material, medicinal, poison","agroforestry, bacteria, charcoal, dye/tannin, essential oils, firebreaks, fuelwood, honey, immune system applications, ornamental/turf, paper, respiratory applications, shade & shelter, timber wood","bark, entire plant, flowers, leaves"
10186,material,timber wood,bark
10187,"environmental, fuels, material","fuelwood, ornamental/turf, shade & shelter, timber wood, windbreak","bark, entire plant"
1019,"environmental, fuels, material","agroforestry, charcoal, fuelwood, ornamental/turf, paper, revegetation, timber wood","bark, entire plant"
10207,"animal food (feed), environmental, food & beverage, fuels, material, medicinal, poison","charcoal, digestive system applications, dye/tannin, erosion control, fish, fuelwood, honey, living fence, minerals, ornamental/turf, shade & shelter, timber wood, vitamins","bark, entire plant, flowers, fruits, leaves, roots, stems"
1021,"environmental, fuels, material","agroforestry, charcoal, fuelwood, honey, ornamental/turf, paper, timber wood","bark, entire plant, flowers"
1022,material,timber wood,bark
10223,"environmental, food & beverage, fuels, material, medicinal, poison","charcoal, digestive system applications, fuelwood, mammals, minerals, ornamental/turf, shade & shelter, timber wood, vitamins","bark, entire plant, fruits, stems"
1023,"environmental, fuels, material, medicinal","charcoal, dye/tannin, essential oils, fibres, fuelwood, honey, ornamental/turf, shade & shelter, soil improvers, timber wood, Unspecified","bark, entire plant, flowers, leaves, stems"
1024,"environmental, fuels, material","essential oils, fuelwood, honey, ornamental/turf, paper, revegetation, timber wood","bark, entire plant, flowers, leaves"
1026,"environmental, fuels, material","agroforestry, charcoal, dye/tannin, erosion control, essential oils, fuelwood, honey, paper, revegetation, shade & shelter, timber wood","bark, entire plant, flowers, leaves, stems"
10274,"environmental, fuels, material","agroforestry, charcoal, dye/tannin, erosion control, firebreaks, fuelwood, ornamental/turf, shade & shelter, timber wood, windbreak","bark, entire plant, stems"
10276,"environmental, fuels, material","fuelwood, honey, living fence, ornamental/turf","bark, entire plant, flowers"
10278,"environmental, material, medicinal","blood system applications, digestive system applications, dye/tannin, living fence, shade & shelter","entire plant, leaves"
10284,"environmental, food additive, medicinal, poison","condiment/seasoning, digestive system applications, genitourinary system applications, insects, mammals, metabolic system applications, ornamental/turf","entire plant, flowers"
10291,"food & beverage, medicinal","digestive system applications, endocrine system applications, minerals, skin applications, vitamins","flowers, leaves, roots"
10292,"animal food (feed), environmental, fuels","agroforestry, charcoal, erosion control, fuelwood, minerals, shade & shelter, vitamins","bark, entire plant, leaves"
10299,"material, medicinal, poison","blood system applications, genitourinary system applications, mammals, nervous system applications, timber wood","bark, leaves, seeds"
1030,"environmental, food & beverage, fuels, material, medicinal","agroforestry, digestive system applications, dye/tannin, fuelwood, honey, living fence, minerals, ornamental/turf, revegetation, shade & shelter, timber wood, Unspecified, vitamins, windbreak","bark, entire plant, flowers, fruits, leaves, seeds, stems"
10307,food & beverage,"minerals, vitamins","bulbs, leaves, seeds"
10308,food & beverage,"minerals, vitamins",fruits
10319,"animal food (feed), environmental, food & beverage, medicinal","agroforestry, protein, Unspecified, vitamins","entire plant, sap, seeds"
10321,"environmental, material, medicinal","dye/tannin, ornamental/turf, shade & shelter, timber wood, Unspecified","bark, entire plant, stems"
10322,"animal food (feed), environmental, fuels","fuelwood, minerals, ornamental/turf, vitamins","bark, entire plant, leaves"
10327,"material, medicinal","dye/tannin, timber wood, Unspecified","bark, fruits"
1033,"environmental, food & beverage, material, medicinal","minerals, shade & shelter, starch, timber wood, Unspecified, vitamins","bark, entire plant, fruits, leaves, roots, stems"
10335,"environmental, fuels, material","agroforestry, charcoal, fuelwood, shade & shelter, timber wood","bark, entire plant"
10345,material,timber wood,bark
10348,material,timber wood,bark
10355,"environmental, fuels, material","dye/tannin, fuelwood, ornamental/turf, shade & shelter, timber wood","bark, entire plant, Unspecified"
10356,material,timber wood,bark
10357,"animal food (feed), fuels, poison","fuelwood, mammals, minerals, vitamins","bark, leaves"
10370,food & beverage,"minerals, vitamins","bark, leaves"
10373,"food additive, material, medicinal","condiment/seasoning, dye/tannin, timber wood, Unspecified","bark, fruits, leaves, roots, seeds, stems"
10379,"food additive, medicinal","condiment/seasoning, digestive system applications, metabolic system applications, skin applications",entire plant
10386,food additive,sweetener,fruits
10389,animal food (feed),"minerals, vitamins",entire plant
10391,"environmental, food & beverage, food additive","agroforestry, condiment/seasoning, minerals, vitamins","entire plant, fruits, seeds"
10394,"environmental, food & beverage, food additive","agroforestry, condiment/seasoning, minerals, vitamins","entire plant, fruits, seeds"
10432,"food additive, material, medicinal","aromatics, condiment/seasoning, cosmetics & perfumery, digestive system applications, essential oils, immune system applications, metabolic system applications, muscular/skeletal applications, respiratory applications","flowers, leaves"
10436,material,canes,bark
10446,"environmental, material, medicinal","cosmetics & perfumery, metabolic system applications, muscular/skeletal applications, nervous system applications, ornamental/turf, skin applications, timber wood","bark, entire plant, flowers"
10449,"fuels, material, medicinal","charcoal, digestive system applications, fibres, metabolic system applications, muscular/skeletal applications, nervous system applications, timber wood","bark, flowers, stems"
10458,"animal food (feed), environmental, food & beverage, material, medicinal, poison","digestive system applications, dye/tannin, essential oils, insects, minerals, ornamental/turf, revegetation, shade & shelter, skin applications, timber wood, vitamins","bark, entire plant, flowers, fruits, leaves, stems"
10459,"animal food (feed), environmental, material","minerals, ornamental/turf, shade & shelter, timber wood, vitamins","bark, entire plant, leaves"
10473,"food additive, material, medicinal, poison","condiment/seasoning, digestive system applications, immune system applications, insects, lipids/oil & fats, metabolic system applications","fruits, seeds"
10476,environmental,ornamental/turf,entire plant
10478,"food & beverage, medicinal","blood system applications, digestive system applications, nutritional applications, respiratory applications, vitamins","leaves, roots"
10489,material,timber wood,bark
10521,animal food (feed),"minerals, protein, vitamins",entire plant
10522,"animal food (feed), environmental","minerals, soil improvers, vitamins",entire plant
10524,"animal food (feed), material","honey, minerals, protein, vitamins","entire plant, flowers"
10525,"animal food (feed), medicinal","digestive system applications, genitourinary system applications, minerals, skin applications, vitamins","entire plant, flowers"
10527,animal food (feed),"minerals, protein, vitamins",entire plant
10528,animal food (feed),"minerals, vitamins",entire plant
10529,animal food (feed),"minerals, protein, vitamins",entire plant
10530,"animal food (feed), environmental, material","honey, manure/fertilizer, minerals, ornamental/turf, protein, vitamins","entire plant, flowers"
10532,animal food (feed),"minerals, protein, vitamins",entire plant
10533,animal food (feed),"minerals, vitamins",entire plant
10534,"animal food (feed), environmental, material","erosion control, honey, minerals, soil improvers, vitamins","entire plant, flowers"
10536,animal food (feed),"minerals, protein, vitamins",entire plant
10537,animal food (feed),"protein, vitamins",entire plant
10538,"animal food (feed), environmental","erosion control, minerals, vitamins",entire plant
10539,animal food (feed),"minerals, vitamins",entire plant
10540,"animal food (feed), environmental","manure/fertilizer, minerals, ornamental/turf, protein, vitamins",entire plant
10541,"animal food (feed), material","honey, protein, vitamins","entire plant, flowers"
10544,"animal food (feed), environmental","erosion control, minerals, protein, revegetation, soil improvers, vitamins",entire plant
10545,animal food (feed),"minerals, vitamins",entire plant
10547,animal food (feed),"minerals, protein, vitamins",entire plant
10548,animal food (feed),"minerals, protein, vitamins",entire plant
10554,"animal food (feed), environmental, food & beverage, food additive, fuels, material, medicinal","agroforestry, condiment/seasoning, cosmetics & perfumery, digestive system applications, endocrine system applications, essential oils, metabolic system applications, minerals, non-wood fuel, respiratory applications, skin applications, soil improvers, vitamins","entire plant, leaves, roots, seedlings, seeds"
10562,material,"fibres, timber wood",bark
10563,"animal food (feed), environmental","erosion control, living fence, minerals, mulch, soil improvers, vitamins",entire plant
10564,"animal food (feed), environmental","erosion control, minerals, ornamental/turf, vitamins",entire plant
10568,"environmental, material","ornamental/turf, shade & shelter, timber wood","bark, entire plant"
10579,"animal food (feed), food & beverage","minerals, starch, vitamins","entire plant, seeds"
10581,"animal food (feed), food & beverage","minerals, starch, vitamins","entire plant, seeds"
10582,food & beverage,starch,seeds
1059,poison,"fish, mammals","entire plant, exudates"
10591,"animal food (feed), food & beverage","minerals, starch, vitamins","entire plant, seeds"
10624,"material, medicinal","aromatics, respiratory applications, skin applications","flowers, leaves"
10626,"animal food (feed), food & beverage, material","lipids/oil & fats, minerals, protein, vitamins","leaves, roots, seeds"
10628,"environmental, food & beverage, material, medicinal","blood system applications, digestive system applications, fibres, genitourinary system applications, lipids/oil & fats, pollution control, protein, starch, sugar, Unspecified","bark, buds, bulbs, entire plant, flowers, leaves, seeds"
10631,"environmental, food & beverage, fuels, material, medicinal","blood system applications, digestive system applications, erosion control, fibres, genitourinary system applications, non-wood fuel, paper, protein, skin applications, starch, vitamins","bark, buds, bulbs, flowers, leaves, roots, seeds"
10633,"environmental, food & beverage, fuels, material, medicinal","digestive system applications, fibres, genitourinary system applications, lipids/oil & fats, metabolic system applications, non-wood fuel, other material/chemicals, paper, pollution control, protein, respiratory applications, revegetation, skin applications, starch, Unspecified","bark, buds, bulbs, entire plant, flowers, leaves, roots, seeds"
10644,"animal food (feed), environmental, food & beverage, fuels, material, medicinal, poison","agroforestry, charcoal, digestive system applications, erosion control, fuelwood, honey, insects, living fence, minerals, ornamental/turf, shade & shelter, soil improvers, timber wood, vitamins","bark, entire plant, flowers, fruits, leaves, roots"
10655,"environmental, material, medicinal","digestive system applications, dye/tannin, living fence, skin applications, timber wood","bark, entire plant, leaves, stems"
10663,"material, medicinal","dye/tannin, Unspecified","bulbs, leaves"
10674,"animal food (feed), environmental","cover crop, erosion control, minerals, vitamins",entire plant
10675,animal food (feed),"minerals, vitamins",entire plant
10676,animal food (feed),"minerals, vitamins",entire plant
10679,"food & beverage, material, medicinal","blood system applications, dye/tannin, fibres, genitourinary system applications, lipids/oil & fats, metabolic system applications, minerals, muscular/skeletal applications, skin applications, vitamins","bark, entire plant, leaves, seeds"
1068,"environmental, food & beverage","minerals, ornamental/turf, vitamins, windbreak","entire plant, flowers, fruits"
10686,"animal food (feed), food & beverage, material, medicinal","blood system applications, digestive system applications, fibres, minerals, muscular/skeletal applications, nutritional applications, vitamins","bark, leaves, roots"
10687,"animal food (feed), food & beverage, medicinal","digestive system applications, minerals, nutritional applications, skin applications",entire plant
10700,"food & beverage, medicinal","minerals, Unspecified, vitamins","fruits, Unspecified"
10704,food & beverage,"minerals, vitamins",fruits
1071,"animal food (feed), environmental, food & beverage, material, medicinal","digestive system applications, dye/tannin, metabolic system applications, minerals, ornamental/turf, respiratory applications, sensory applications, shade & shelter, skin applications, vitamins","entire plant, fruits, leaves"
10711,food & beverage,"minerals, vitamins",fruits
10714,"food & beverage, material, medicinal","blood system applications, dye/tannin, minerals, vitamins","fruits, leaves"
10719,"food & beverage, material, medicinal","blood system applications, digestive system applications, dye/tannin, immune system applications, vitamins","entire plant, fruits, leaves"
10733,"food & beverage, fuels, medicinal","dental applications, digestive system applications, fuelwood, minerals, respiratory applications, skin applications, vitamins","bark, fruits, leaves, roots, seeds"
10734,"food & beverage, fuels, material, medicinal","charcoal, fuelwood, honey, minerals, Unspecified, vitamins","bark, flowers, fruits, roots, stems"
10741,"material, medicinal","latex/rubber, timber wood, Unspecified","bark, exudates, Unspecified"
10746,"animal food (feed), environmental, fuels, material, medicinal","fuelwood, gums/resins, minerals, shade & shelter, Unspecified, vitamins","bark, entire plant, exudates, leaves, Unspecified"
10747,"medicinal, poison","digestive system applications, insects, mammals, respiratory applications, sensory applications","entire plant, roots"
1075,"environmental, material","latex/rubber, ornamental/turf","entire plant, exudates"
10753,medicinal,"digestive system applications, respiratory applications, skin applications",flowers
10758,"food & beverage, food additive, material, medicinal","condiment/seasoning, digestive system applications, essential oils, minerals, respiratory applications, sensory applications","entire plant, leaves"
10763,"animal food (feed), environmental, food & beverage, fuels, material, medicinal","charcoal, digestive system applications, erosion control, fuelwood, living fence, minerals, ornamental/turf, skin applications, timber wood, vitamins","bark, entire plant, leaves, roots"
10802,"animal food (feed), environmental","cover crop, erosion control, minerals, protein, vitamins",entire plant
10808,"animal food (feed), environmental, food & beverage","erosion control, minerals, protein, vitamins","entire plant, seeds"
10809,animal food (feed),"minerals, protein, vitamins",entire plant
10810,"animal food (feed), environmental","erosion control, minerals, vitamins",entire plant
10816,animal food (feed),"minerals, protein, vitamins",entire plant
10823,animal food (feed),"minerals, vitamins",entire plant
10825,"animal food (feed), environmental","cover crop, manure/fertilizer, minerals, vitamins",entire plant
10827,"animal food (feed), environmental","cover crop, minerals, vitamins",entire plant
10830,"environmental, food & beverage, medicinal","digestive system applications, protein, soil improvers","entire plant, seeds"
10831,"animal food (feed), environmental","manure/fertilizer, protein, vitamins",entire plant
10833,"animal food (feed), food & beverage",Unspecified,"entire plant, fruits"
10834,"animal food (feed), environmental, food & beverage","manure/fertilizer, minerals, ornamental/turf, protein, soil improvers, vitamins","entire plant, fruits, seeds"
10835,"animal food (feed), environmental, food & beverage","agroforestry, minerals, protein, soil improvers, vitamins","entire plant, fruits, leaves, seeds"
10836,"animal food (feed), environmental, food & beverage","cover crop, erosion control, manure/fertilizer, minerals, pioneer, protein, revegetation, soil improvers, vitamins","entire plant, fruits, leaves, roots, seeds"
10841,"environmental, medicinal","blood system applications, digestive system applications, muscular/skeletal applications, ornamental/turf, skin applications","entire plant, leaves, roots"
10850,"material, medicinal","cosmetics & perfumery, digestive system applications, respiratory applications, skin applications","flowers, leaves, roots"
10853,medicinal,"digestive system applications, metabolic system applications, muscular/skeletal applications, skin applications","entire plant, leaves, roots"
10860,medicinal,"blood system applications, digestive system applications, skin applications","bark, leaves"
10862,"animal food (feed), environmental, food & beverage, fuels, material, medicinal, poison","agroforestry, charcoal, cosmetics & perfumery, digestive system applications, dye/tannin, erosion control, fuelwood, honey, insects, latex/rubber, lipids, lipids/oil & fats, manure/fertilizer, minerals, muscular/skeletal applications, pollution control, sensory applications, skin applications, timber wood, vitamins","bark, entire plant, flowers, fruits, leaves, roots, seeds, stems"
10870,medicinal,"digestive system applications, genitourinary system applications, skin applications","flowers, fruits, leaves"
10874,"animal food (feed), environmental, food & beverage, fuels, material, medicinal, non-vertebrate food","blood system applications, charcoal, digestive system applications, dye/tannin, fuelwood, genitourinary system applications, living fence, minerals, mulch, nitrogen fixation, sensory applications, shade & shelter, timber wood, vitamins","bark, entire plant, fruits, leaves, roots, seeds, stems"
10880,"environmental, food & beverage, fuels, material","fuelwood, minerals, mulch, ornamental/turf, timber wood, vitamins, windbreak","bark, entire plant, fruits, leaves"
10884,"environmental, medicinal","digestive system applications, endocrine system applications, genitourinary system applications, immune system applications, living fence, muscular/skeletal applications, ornamental/turf, respiratory applications, sensory applications, skin applications","entire plant, leaves, roots, seeds"
10885,"animal food (feed), environmental, material, medicinal","agroforestry, minerals, timber wood, Unspecified, vitamins","bark, entire plant, leaves, stems"
10895,"animal food (feed), food & beverage, material","lipids/oil & fats, minerals, vitamins","fruits, leaves, seeds"
10900,food & beverage,"minerals, vitamins",fruits
10914,"animal food (feed), environmental, food & beverage, food additive, fuels, material, medicinal","condiment/seasoning, digestive system applications, fuelwood, gums/resins, minerals, nervous system applications, protein, shade & shelter, skin applications, soil improvers, timber wood, vitamins","bark, entire plant, exudates, fruits, leaves, roots, seeds, stems"
10920,medicinal,"genitourinary system applications, immune system applications, muscular/skeletal applications, nervous system applications","fruits, leaves, roots, seeds, stems"
10924,material,timber wood,bark
10941,food & beverage,"minerals, vitamins",leaves
10952,material,timber wood,bark
10953,material,timber wood,bark
10954,"material, medicinal","dye/tannin, timber wood, Unspecified","bark, seeds, stems"
10955,"fuels, material, medicinal","dye/tannin, fuelwood, timber wood, Unspecified","bark, seeds, stems"
10956,"fuels, material, medicinal","dye/tannin, fuelwood, timber wood, Unspecified","bark, seeds, stems"
1096,"food & beverage, food additive, medicinal","condiment/seasoning, minerals, Unspecified, vitamins",rhizomes
10967,"environmental, food & beverage, material","erosion control, fibres, living fence, minerals, ornamental/turf, vitamins","entire plant, flowers, leaves, stems"
10981,"animal food (feed), food & beverage, material","gums/resins, lipids/oil & fats, minerals, vitamins","entire plant, fruits, seeds, Unspecified"
10982,"animal food (feed), food & beverage, food additive, material","lipids/oil & fats, minerals, sweetener, vitamins","entire plant, seeds"
10994,"food & beverage, material, medicinal","fibres, genitourinary system applications, immune system applications, Unspecified","bark, buds, bulbs, leaves, roots, seeds"
11001,"animal food (feed), environmental, food & beverage, food additive, fuels, material, medicinal","charcoal, condiment/seasoning, digestive system applications, dye/tannin, endocrine system applications, fuelwood, honey, living fence, minerals, muscular/skeletal applications, respiratory applications, sensory applications, skin applications, vitamins","bark, entire plant, flowers, fruits, leaves, roots, seeds, stems"
11015,"animal food (feed), food & beverage","minerals, vitamins",entire plant
11018,"animal food (feed), environmental","erosion control, minerals, vitamins",entire plant
11029,"food & beverage, material, medicinal, poison","digestive system applications, dye/tannin, fibres, genitourinary system applications, insects, mammals, nervous system applications, skin applications, vitamins","fruits, leaves, seeds, stems"
1104,"animal food (feed), environmental, fuels, material, medicinal, non-vertebrate food","agroforestry, dye/tannin, fuelwood, living fence, manure/fertilizer, minerals, muscular/skeletal applications, nitrogen fixation, shade & shelter, skin applications, soil improvers, support, vitamins","bark, entire plant, fruits, leaves, roots"
11059,medicinal,"blood system applications, nervous system applications",roots
11067,material,fibres,bark
1107,"environmental, food & beverage, food additive, material, medicinal, poison","agroforestry, blood system applications, condiment/seasoning, digestive system applications, endocrine system applications, essential oils, mammals, minerals, muscular/skeletal applications, nervous system applications, nutritional applications, respiratory applications, vitamins","entire plant, leaves, roots, seeds"
1110,"environmental, food & beverage, medicinal","living fence, minerals, nutritional applications, ornamental/turf, vitamins","entire plant, fruits"
1112,food & beverage,"minerals, vitamins",fruits
1122,"food & beverage, material, medicinal","dye/tannin, minerals, timber wood, Unspecified, vitamins","bark, fruits, stems"
1125,"food & beverage, material","latex/rubber, minerals, vitamins","exudates, fruits"
11281,"environmental, food additive, material, medicinal","colorant, cosmetics & perfumery, digestive system applications, ornamental/turf, respiratory applications, skin applications","entire plant, flowers"
11291,"environmental, food & beverage, material","lipids/oil & fats, manure/fertilizer, minerals, protein, vitamins","leaves, roots, seeds"
11324,medicinal,"digestive system applications, nervous system applications",leaves
11399,"animal food (feed), environmental","pioneer, protein, vitamins",entire plant
11401,"animal food (feed), environmental","erosion control, protein, vitamins",entire plant
11426,"animal food (feed), food & beverage",Unspecified,"entire plant, fruits"
1146,"animal food (feed), environmental, fuels, material, medicinal, poison","firebreaks, fuelwood, honey, living fence, mammals, manure/fertilizer, minerals, revegetation, shade & shelter, soil improvers, support, timber wood, Unspecified, vitamins, windbreak","bark, entire plant, flowers, leaves, roots, seeds, stems"
1150,"animal food (feed), environmental, food & beverage, food additive, fuels, material","agroforestry, condiment/seasoning, cosmetics & perfumery, fibres, lipids/oil & fats, minerals, petroleum substitutes/alcohol, protein, soil improvers, stabiliser, vitamins","entire plant, fruits, leaves, seedlings, seeds"
1152,"animal food (feed), environmental, food & beverage, fuels, material, medicinal, non-vertebrate food","agroforestry, charcoal, fuelwood, honey, minerals, ornamental/turf, paper, shade & shelter, timber wood, Unspecified, vitamins","bark, entire plant, exudates, flowers, fruits, leaves, roots, stems"
1158,"animal food (feed), environmental, material","fibres, lipids/oil & fats, manure/fertilizer, minerals, ornamental/turf, vitamins","entire plant, fruits, seeds"
1160,"animal food (feed), fuels, material","fibres, lipids/oil & fats, minerals, petroleum substitutes/alcohol, vitamins","fruits, seeds"
11641,"environmental, fuels, material, medicinal, poison","digestive system applications, endocrine system applications, erosion control, fuelwood, honey, immune system applications, mammals, manure/fertilizer, ornamental/turf, shade & shelter, timber wood","bark, entire plant, flowers, leaves, stems"
11652,"animal food (feed), environmental","erosion control, minerals, vitamins",entire plant
11655,"environmental, fuels, material","fuelwood, honey, manure/fertilizer, nitrogen fixation, ornamental/turf, shade & shelter, timber wood","bark, entire plant, flowers, roots"
11660,"animal food (feed), environmental, fuels","fuelwood, protein, shade & shelter, vitamins, windbreak","bark, entire plant, leaves"
11661,"animal food (feed), food & beverage, fuels, material","fuelwood, protein, timber wood, vitamins","bark, fruits, leaves"
11684,"animal food (feed), food & beverage","protein, vitamins","entire plant, fruits"
11687,"animal food (feed), food & beverage","protein, vitamins","fruits, leaves, seeds"
11689,"animal food (feed), environmental, food & beverage","minerals, protein, shade & shelter, vitamins","entire plant, fruits, leaves"
11691,"animal food (feed), fuels, material","fuelwood, protein, timber wood, vitamins","bark, leaves"
11698,"animal food (feed), environmental, material","agroforestry, erosion control, honey, minerals, vitamins","entire plant, flowers, leaves"
1170,"environmental, fuels, material, poison","agroforestry, fibres, fuelwood, gums/resins, honey, mammals, ornamental/turf, revegetation, shade & shelter, soil improvers, timber wood, windbreak","bark, entire plant, flowers, leaves"
11711,animal food (feed),"minerals, protein, vitamins","fruits, leaves"
11750,"food & beverage, medicinal","blood system applications, digestive system applications, immune system applications, skin applications, Unspecified","flowers, leaves"
11752,"animal food (feed), environmental, food & beverage, fuels, material, medicinal","agroforestry, charcoal, digestive system applications, erosion control, fuelwood, honey, living fence, manure/fertilizer, minerals, nitrogen fixation, protein, respiratory applications, shade & shelter, skin applications, support, timber wood, vitamins","bark, entire plant, exudates, flowers, fruits, leaves, roots, shoots"
11776,"environmental, fuels, material, medicinal","charcoal, erosion control, fuelwood, honey, nitrogen fixation, ornamental/turf, shade & shelter, Unspecified","bark, entire plant, flowers, roots, Unspecified"
11814,animal food (feed),Unspecified,leaves
11819,"animal food (feed), fuels, material","fuelwood, honey, minerals, protein, timber wood, vitamins","bark, flowers, fruits, leaves"
11848,"animal food (feed), environmental, fuels, material, medicinal","digestive system applications, fibres, fuelwood, minerals, revegetation, timber wood, vitamins","bark, entire plant, leaves, roots, Unspecified"
11882,"animal food (feed), environmental","minerals, protein, shade & shelter, vitamins","entire plant, fruits, leaves"
1191,"animal food (feed), environmental, fuels, material, medicinal","digestive system applications, essential oils, fibres, lipids/oil & fats, minerals, ornamental/turf, petroleum substitutes/alcohol, vitamins","entire plant, flowers, seeds"
1193,"animal food (feed), food & beverage, food additive, material","condiment/seasoning, gums/resins, minerals, starch, vitamins","roots, Unspecified"
1203,animal food (feed),"minerals, vitamins",entire plant
1205,"fuels, material, medicinal, non-vertebrate food, poison","dye/tannin, fish, fuelwood, minerals, paper, timber wood, Unspecified, vitamins","bark, fruits, roots, seeds, stems"
1210,"animal food (feed), environmental","erosion control, minerals, vitamins",entire plant
1212,"animal food (feed), environmental, food & beverage, fuels, material, poison","agroforestry, charcoal, fibres, fuelwood, honey, latex/rubber, lipids, lipids/oil & fats, mammals, manure/fertilizer, minerals, timber wood","bark, entire plant, exudates, flowers, seeds"
1213,"animal food (feed), food & beverage, food additive, fuels, material","condiment/seasoning, dye/tannin, fibres, fuelwood, lipids/oil & fats, petroleum substitutes/alcohol, Unspecified","bark, entire plant, leaves, seeds"
1216,"animal food (feed), food & beverage, food additive, material, medicinal","blood system applications, condiment/seasoning, digestive system applications, fibres, genitourinary system applications, minerals, muscular/skeletal applications, protein, respiratory applications, skin applications, vitamins","bark, flowers, fruits, leaves, roots, seeds, stems"
12170,"animal food (feed), environmental","minerals, ornamental/turf, vitamins",entire plant
12183,"animal food (feed), food & beverage, medicinal","blood system applications, vitamins","entire plant, seedlings"
12184,"animal food (feed), environmental, fuels, material, medicinal, poison","agroforestry, charcoal, digestive system applications, dye/tannin, erosion control, fuelwood, gums/resins, mammals, minerals, ornamental/turf, respiratory applications, revegetation, shade & shelter, timber wood, vitamins","bark, entire plant, exudates, fruits, leaves, seeds, stems"
1220,"environmental, food & beverage, material, medicinal","digestive system applications, dye/tannin, genitourinary system applications, lipids/oil & fats, living fence, ornamental/turf, paper, respiratory applications, sensory applications, skin applications, Unspecified","bark, entire plant, flowers, leaves, roots, seeds"
12200,"environmental, medicinal, poison","mammals, ornamental/turf, Unspecified","entire plant, leaves, roots"
1221,"environmental, fuels, material","agroforestry, erosion control, fibres, fuelwood, ornamental/turf, timber wood","bark, entire plant, Unspecified"
12245,animal food (feed),"minerals, vitamins",entire plant
1232,"animal food (feed), food & beverage, medicinal","digestive system applications, minerals, starch, vitamins","bark, seeds"
12320,"environmental, medicinal","blood system applications, digestive system applications, endocrine system applications, genitourinary system applications, immune system applications, muscular/skeletal applications, ornamental/turf, respiratory applications, skin applications","entire plant, leaves, roots"
12347,"food additive, medicinal, poison","condiment/seasoning, digestive system applications, genitourinary system applications, mammals, muscular/skeletal applications",entire plant
12381,"environmental, medicinal","immune system applications, ornamental/turf, respiratory applications, skin applications","entire plant, flowers, leaves"
